,popularity,title,vote_average,vote_count,vote_total,runtime_minutes,genre,production_budget,worldwide_gross,worldwide_profit,release_date,percent_returns
392,7.735,Cyrus,6.0,201,1206.0,87.0,Horror,7000000,10062896,3062896,2010-06-18,143.75565714285713
393,7.735,Cyrus,6.0,201,1206.0,87.0,Mystery,7000000,10062896,3062896,2010-06-18,143.75565714285713
394,7.699,Lottery Ticket,5.7,92,524.4,99.0,Comedy,17000000,24719879,7719879,2010-08-20,145.41105294117648
395,7.697,Biutiful,7.2,546,3931.2000000000003,148.0,Drama,35000000,24687524,-10312476,2010-12-28,70.53578285714286
396,7.697,Biutiful,7.2,546,3931.2000000000003,148.0,Romance,35000000,24687524,-10312476,2010-12-28,70.53578285714286
397,7.666,MacGruber,5.3,270,1431.0,90.0,Action,10000000,8629895,-1370105,2010-05-21,86.29894999999999
398,7.666,MacGruber,5.3,270,1431.0,90.0,Comedy,10000000,8629895,-1370105,2010-05-21,86.29894999999999
399,7.666,MacGruber,5.3,270,1431.0,90.0,Romance,10000000,8629895,-1370105,2010-05-21,86.29894999999999
400,7.596,Somewhere,6.1,376,2293.6,97.0,Comedy,7000000,17023121,10023121,2010-12-22,243.18744285714286
401,7.596,Somewhere,6.1,376,2293.6,97.0,Drama,7000000,17023121,10023121,2010-12-22,243.18744285714286
402,7.567,Country Strong,6.3,126,793.8,117.0,Drama,15000000,20601987,5601987,2010-12-22,137.34658
403,7.567,Country Strong,6.3,126,793.8,117.0,Music,15000000,20601987,5601987,2010-12-22,137.34658
404,7.566,The Nutcracker in 3D,5.5,97,533.5,110.0,Action,90000000,20466016,-69533984,2010-11-24,22.740017777777776
405,7.566,The Nutcracker in 3D,5.5,97,533.5,110.0,Family,90000000,20466016,-69533984,2010-11-24,22.740017777777776
