,popularity,title,vote_average,vote_count,vote_total,runtime_minutes,genre,production_budget,domestic_profit,worldwide_profit,release_date
136,39.975,Robin Hood,5.8,1194,6925.2,60.0,Adventure,210000000,-104512852,112459006,2018-11-21
137,39.975,Robin Hood,5.8,1194,6925.2,60.0,Adventure,99000000,-68175372,-14252559,2018-11-21
138,39.975,Robin Hood,5.8,1194,6925.2,60.0,History,210000000,-104512852,112459006,2018-11-21
139,39.975,Robin Hood,5.8,1194,6925.2,60.0,History,99000000,-68175372,-14252559,2018-11-21
140,15.041,Shrek Forever After,6.1,3843,23442.3,93.0,Adventure,165000000,73736787,591244673,2010-05-16
141,15.041,Shrek Forever After,6.1,3843,23442.3,93.0,Animation,165000000,73736787,591244673,2010-05-16
142,15.041,Shrek Forever After,6.1,3843,23442.3,93.0,Comedy,165000000,73736787,591244673,2010-05-16
143,14.69,Easy A,6.8,4168,28342.399999999998,92.0,Comedy,8000000,50401464,68200721,2010-09-17
144,14.69,Easy A,6.8,4168,28342.399999999998,92.0,Drama,8000000,50401464,68200721,2010-09-17
145,14.69,Easy A,6.8,4168,28342.399999999998,92.0,Romance,8000000,50401464,68200721,2010-09-17
146,14.463,The Sorcerer's Apprentice,5.9,2879,16986.100000000002,109.0,Action,160000000,-96849009,57986320,2010-07-13
147,14.463,The Sorcerer's Apprentice,5.9,2879,16986.100000000002,109.0,Adventure,160000000,-96849009,57986320,2010-07-13
148,14.463,The Sorcerer's Apprentice,5.9,2879,16986.100000000002,109.0,Family,160000000,-96849009,57986320,2010-07-13
149,14.291,Grown Ups,6.1,3171,19343.1,102.0,Comedy,75000000,87001186,197223430,2010-06-24
150,14.172,Faster,6.2,895,5549.0,98.0,Action,24000000,-759980,11792945,2010-11-23
151,14.172,Faster,6.2,895,5549.0,98.0,Crime,24000000,-759980,11792945,2010-11-23
152,14.172,Faster,6.2,895,5549.0,98.0,Drama,24000000,-759980,11792945,2010-11-23
153,14.03,The Wolfman,5.7,1009,5751.3,103.0,Drama,150000000,-87810116,-7365642,2010-02-12
154,14.03,The Wolfman,5.7,1009,5751.3,103.0,Fantasy,150000000,-87810116,-7365642,2010-02-12
155,14.03,The Wolfman,5.7,1009,5751.3,103.0,Horror,150000000,-87810116,-7365642,2010-02-12
156,14.01,Unstoppable,6.4,1913,12243.2,98.0,Action,95000000,-13437058,70720921,2010-11-12
157,14.01,Unstoppable,6.4,1913,12243.2,98.0,Thriller,95000000,-13437058,70720921,2010-11-12
158,14.01,Unstoppable,6.4,1913,12243.2,53.0,Biography,95000000,-13437058,70720921,2010-11-12
159,14.01,Unstoppable,6.4,1913,12243.2,53.0,Documentary,95000000,-13437058,70720921,2010-11-12
160,14.01,Unstoppable,6.4,1913,12243.2,53.0,History,95000000,-13437058,70720921,2010-11-12
161,14.01,Unstoppable,6.4,1913,12243.2,65.0,Documentary,95000000,-13437058,70720921,2010-11-12
162,14.01,Unstoppable,6.4,1913,12243.2,12.0,Documentary,95000000,-13437058,70720921,2010-11-12
163,14.01,Unstoppable,6.4,1913,12243.2,116.0,Action,95000000,-13437058,70720921,2010-11-12
164,14.01,Unstoppable,6.4,1913,12243.2,116.0,Crime,95000000,-13437058,70720921,2010-11-12
165,14.01,Unstoppable,6.4,1913,12243.2,52.0,Documentary,95000000,-13437058,70720921,2010-11-12
166,14.01,Unstoppable,6.4,1913,12243.2,84.0,Documentary,95000000,-13437058,70720921,2010-11-12
167,0.6,Unstoppable,1.6,4,6.4,98.0,Action,95000000,-13437058,70720921,2013-09-24
168,0.6,Unstoppable,1.6,4,6.4,98.0,Thriller,95000000,-13437058,70720921,2013-09-24
169,0.6,Unstoppable,1.6,4,6.4,53.0,Biography,95000000,-13437058,70720921,2013-09-24
170,0.6,Unstoppable,1.6,4,6.4,53.0,Documentary,95000000,-13437058,70720921,2013-09-24
171,0.6,Unstoppable,1.6,4,6.4,53.0,History,95000000,-13437058,70720921,2013-09-24
172,0.6,Unstoppable,1.6,4,6.4,65.0,Documentary,95000000,-13437058,70720921,2013-09-24
173,0.6,Unstoppable,1.6,4,6.4,12.0,Documentary,95000000,-13437058,70720921,2013-09-24
174,0.6,Unstoppable,1.6,4,6.4,116.0,Action,95000000,-13437058,70720921,2013-09-24
175,0.6,Unstoppable,1.6,4,6.4,116.0,Crime,95000000,-13437058,70720921,2013-09-24
176,0.6,Unstoppable,1.6,4,6.4,52.0,Documentary,95000000,-13437058,70720921,2013-09-24
177,0.6,Unstoppable,1.6,4,6.4,84.0,Documentary,95000000,-13437058,70720921,2013-09-24
178,13.745,Black Swan,7.6,8374,63642.399999999994,108.0,Drama,13000000,93954678,318266710,2010-12-03
179,13.745,Black Swan,7.6,8374,63642.399999999994,108.0,Thriller,13000000,93954678,318266710,2010-12-03
180,13.548,Centurion,6.1,673,4105.3,97.0,Action,15000000,-14876430,-7114952,2010-02-15
181,13.548,Centurion,6.1,673,4105.3,97.0,Adventure,15000000,-14876430,-7114952,2010-02-15
182,13.548,Centurion,6.1,673,4105.3,97.0,Drama,15000000,-14876430,-7114952,2010-02-15
183,13.508,The Other Guys,6.2,2187,13559.4,107.0,Action,100000000,19219978,70936470,2010-08-06
184,13.508,The Other Guys,6.2,2187,13559.4,107.0,Comedy,100000000,19219978,70936470,2010-08-06
185,13.508,The Other Guys,6.2,2187,13559.4,107.0,Crime,100000000,19219978,70936470,2010-08-06
186,13.476,The Town,7.1,2386,16940.6,125.0,Crime,37000000,55186262,115566881,2010-09-17
187,13.476,The Town,7.1,2386,16940.6,125.0,Drama,37000000,55186262,115566881,2010-09-17
188,13.476,The Town,7.1,2386,16940.6,125.0,Thriller,37000000,55186262,115566881,2010-09-17
189,13.476,The Town,7.1,2386,16940.6,101.0,Horror,37000000,55186262,115566881,2010-09-17
190,13.467,Jonah Hex,4.6,708,3256.7999999999997,81.0,Action,47000000,-36452883,-35977304,2010-06-18
191,13.467,Jonah Hex,4.6,708,3256.7999999999997,81.0,Drama,47000000,-36452883,-35977304,2010-06-18
192,13.467,Jonah Hex,4.6,708,3256.7999999999997,81.0,Fantasy,47000000,-36452883,-35977304,2010-06-18
193,13.118,True Grit,7.2,2816,20275.2,110.0,Adventure,35000000,136243005,217276928,2010-12-22
194,13.118,True Grit,7.2,2816,20275.2,110.0,Drama,35000000,136243005,217276928,2010-12-22
195,13.118,True Grit,7.2,2816,20275.2,110.0,Western,35000000,136243005,217276928,2010-12-22
196,13.102,I Spit on Your Grave,6.3,977,6155.099999999999,108.0,Horror,1750000,-1656949,-471529,2010-10-08
197,13.102,I Spit on Your Grave,6.3,977,6155.099999999999,108.0,Thriller,1750000,-1656949,-471529,2010-10-08
198,13.08,Kick-Ass,7.1,7540,53534.0,117.0,Action,28000000,20071303,69531134,2010-04-16
199,13.08,Kick-Ass,7.1,7540,53534.0,117.0,Comedy,28000000,20071303,69531134,2010-04-16
200,13.025,Salt,6.3,3240,20412.0,100.0,Action,130000000,-11688632,160650494,2010-07-23
201,13.025,Salt,6.3,3240,20412.0,100.0,Mystery,130000000,-11688632,160650494,2010-07-23
202,13.025,Salt,6.3,3240,20412.0,100.0,Thriller,130000000,-11688632,160650494,2010-07-23
203,0.632,Salt,1.0,1,1.0,100.0,Action,130000000,-11688632,160650494,2012-08-06
204,0.632,Salt,1.0,1,1.0,100.0,Mystery,130000000,-11688632,160650494,2012-08-06
205,0.632,Salt,1.0,1,1.0,100.0,Thriller,130000000,-11688632,160650494,2012-08-06
206,12.65,Tooth Fairy,5.3,1058,5607.4,101.0,Comedy,48000000,12022256,64610386,2010-01-22
207,12.65,Tooth Fairy,5.3,1058,5607.4,101.0,Family,48000000,12022256,64610386,2010-01-22
208,12.65,Tooth Fairy,5.3,1058,5607.4,101.0,Fantasy,48000000,12022256,64610386,2010-01-22
209,12.65,Tooth Fairy,5.3,1058,5607.4,86.0,Horror,48000000,12022256,64610386,2010-01-22
210,12.557,Machete,6.3,1862,11730.6,105.0,Action,12500000,14093646,33870970,2010-09-03
211,12.557,Machete,6.3,1862,11730.6,105.0,Crime,12500000,14093646,33870970,2010-09-03
212,12.557,Machete,6.3,1862,11730.6,105.0,Thriller,12500000,14093646,33870970,2010-09-03
213,12.498,Date Night,6.0,1743,10458.0,88.0,Comedy,55000000,43711404,97269033,2010-04-08
214,12.498,Date Night,6.0,1743,10458.0,88.0,Crime,55000000,43711404,97269033,2010-04-08
215,12.498,Date Night,6.0,1743,10458.0,88.0,Romance,55000000,43711404,97269033,2010-04-08
216,12.445,Due Date,6.3,2973,18729.899999999998,95.0,Adventure,65000000,35539043,146739043,2010-11-04
217,12.445,Due Date,6.3,2973,18729.899999999998,95.0,Comedy,65000000,35539043,146739043,2010-11-04
218,12.437,Repo Men,6.2,976,6051.2,111.0,Action,32000000,-18057993,-13804762,2010-03-19
219,12.437,Repo Men,6.2,976,6051.2,111.0,Crime,32000000,-18057993,-13804762,2010-03-19
220,12.437,Repo Men,6.2,976,6051.2,111.0,Sci-Fi,32000000,-18057993,-13804762,2010-03-19
221,12.255999999999998,The Karate Kid,6.3,3140,19782.0,140.0,Action,40000000,136591618,311774938,2010-06-10
222,12.255999999999998,The Karate Kid,6.3,3140,19782.0,140.0,Action,8000000,82815558,82815558,2010-06-10
223,12.255999999999998,The Karate Kid,6.3,3140,19782.0,140.0,Drama,40000000,136591618,311774938,2010-06-10
224,12.255999999999998,The Karate Kid,6.3,3140,19782.0,140.0,Drama,8000000,82815558,82815558,2010-06-10
225,12.255999999999998,The Karate Kid,6.3,3140,19782.0,140.0,Family,40000000,136591618,311774938,2010-06-10
226,12.255999999999998,The Karate Kid,6.3,3140,19782.0,140.0,Family,8000000,82815558,82815558,2010-06-10
227,12.255999999999998,Diary of a Wimpy Kid,6.0,736,4416.0,94.0,Comedy,15000000,49003625,61954311,2010-03-19
228,12.255999999999998,Diary of a Wimpy Kid,6.0,736,4416.0,94.0,Drama,15000000,49003625,61954311,2010-03-19
229,12.255999999999998,Diary of a Wimpy Kid,6.0,736,4416.0,94.0,Family,15000000,49003625,61954311,2010-03-19
230,12.246,The Crazies,6.2,1036,6423.2,101.0,Horror,19000000,20123589,37445534,2010-02-26
231,12.246,The Crazies,6.2,1036,6423.2,101.0,Thriller,19000000,20123589,37445534,2010-02-26
232,12.153,Little Fockers,5.6,1883,10544.8,98.0,Comedy,100000000,48438600,210650574,2010-12-21
233,12.153,Little Fockers,5.6,1883,10544.8,98.0,Romance,100000000,48438600,210650574,2010-12-21
234,12.048,Dear John,6.8,2676,18196.8,108.0,Drama,25000000,55014842,117033509,2010-02-04
235,12.048,Dear John,6.8,2676,18196.8,108.0,Romance,25000000,55014842,117033509,2010-02-04
236,12.048,Dear John,6.8,2676,18196.8,108.0,War,25000000,55014842,117033509,2010-02-04
237,12.032,Legion,5.3,1154,6116.2,100.0,Action,26000000,14168080,41647574,2010-01-22
238,12.032,Legion,5.3,1154,6116.2,100.0,Fantasy,26000000,14168080,41647574,2010-01-22
239,12.032,Legion,5.3,1154,6116.2,100.0,Horror,26000000,14168080,41647574,2010-01-22
240,1.6269999999999998,Legion,7.5,4,30.0,100.0,Action,26000000,14168080,41647574,2016-10-25
241,1.6269999999999998,Legion,7.5,4,30.0,100.0,Fantasy,26000000,14168080,41647574,2016-10-25
242,1.6269999999999998,Legion,7.5,4,30.0,100.0,Horror,26000000,14168080,41647574,2016-10-25
243,11.821,Leap Year,6.7,990,6633.0,100.0,Comedy,19000000,6918920,13618920,2010-01-08
244,11.821,Leap Year,6.7,990,6633.0,100.0,Romance,19000000,6918920,13618920,2010-01-08
245,11.821,Leap Year,6.7,990,6633.0,94.0,Drama,19000000,6918920,13618920,2010-01-08
246,11.821,Leap Year,6.7,990,6633.0,94.0,Romance,19000000,6918920,13618920,2010-01-08
247,2.563,Leap Year,5.6,30,168.0,100.0,Comedy,19000000,6918920,13618920,2011-06-24
248,2.563,Leap Year,5.6,30,168.0,100.0,Romance,19000000,6918920,13618920,2011-06-24
249,2.563,Leap Year,5.6,30,168.0,94.0,Drama,19000000,6918920,13618920,2011-06-24
250,2.563,Leap Year,5.6,30,168.0,94.0,Romance,19000000,6918920,13618920,2011-06-24
251,11.624,Fair Game,6.6,384,2534.3999999999996,108.0,Biography,50000000,-38502503,-23902503,2010-05-20
252,11.624,Fair Game,6.6,384,2534.3999999999996,108.0,Drama,50000000,-38502503,-23902503,2010-05-20
253,11.624,Fair Game,6.6,384,2534.3999999999996,108.0,Thriller,50000000,-38502503,-23902503,2010-05-20
254,11.624,Fair Game,6.6,384,2534.3999999999996,,Documentary,50000000,-38502503,-23902503,2010-05-20
